empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
26,8,46a983722ee1f51813a6a3eb6534a6e4,40.795,-73.9645,W 100 St & Manhattan Ave,2022-12-05T01:39:35.581000Z,4,True,1670201766,"['creditcard', 'key']",True,1,1,39,3328
28,46,81872dcff5f0e5f1e042aafcc0bab6fd,40.7667405590595,-73.9790689945221,7 Ave & Central Park South,2022-12-05T01:39:36.463000Z,7,True,1670203764,"['creditcard', 'key']",True,1,1,81,3724
17,5,1ce1f825efba7112c62e0b05624fa501,40.676368,-73.952918,Bedford Ave & Bergen St,2022-12-05T01:39:36.839000Z,3,True,1670203992,"['creditcard', 'key']",True,1,1,24,3571
22,4,75a634e2473d7e3abf789c09c44fdf26,40.751047,-73.93797,28 St & 41 Ave,2022-12-05T01:39:36.589000Z,0,True,1670201134,"['creditcard', 'key']",True,1,1,27,3555
19,17,fdb4831d3335a9aea380117ea4f4b81a,40.801694,-73.957145,Frederick Douglass Blvd & W 112 St,2022-12-05T01:39:36.590000Z,8,True,1670203930,"['creditcard', 'key']",True,1,1,37,3553
22,13,d76408166f0663a383289a5d5d452c13,40.805973,-73.964928,W 113 St & Broadway,2022-12-05T01:39:36.591000Z,8,True,1670203304,"['creditcard', 'key']",True,1,1,39,3552
3,20,678fea3bb3afe05788a35750358db726,40.795508,-73.941606,3 Ave & E 112 St,2022-12-05T01:39:36.591000Z,5,True,1670201392,"['creditcard', 'key']",True,1,1,23,3551
13,4,7ca4ed0b4fba2b2fb259ba84bd43e2ad,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,2022-12-05T01:39:35.648000Z,1,True,1670203860,"['creditcard', 'key']",True,1,1,18,3255
5,16,032adb4e82f406f3e04c4b40c2f43e96,40.6794388,-73.9680438,Bergen St & Vanderbilt Ave,2022-12-05T01:39:36.593000Z,1,True,1670204291,"['creditcard', 'key']",True,1,1,27,3558
9,7,ca4f75006e50239fd4d3024e2effc750,40.6851443,-73.95380904,Monroe St & Bedford Ave,2022-12-05T01:39:35.266000Z,3,True,1670203727,"['creditcard', 'key']",True,1,1,23,344
3,27,387d971321c72e3ecba9ceaa2bfac75a,40.7557327,-73.9236611,35 Ave & 37 St,2022-12-05T01:39:36.839000Z,9,True,1670200855,"['creditcard', 'key']",True,1,1,31,3570
1,23,9df6386d8677d42c8ba69a15548e61a7,40.73652889,-74.00618026,Bank St & Hudson St,2022-12-05T01:39:35.266000Z,5,True,1670203288,"['creditcard', 'key']",True,1,1,27,346
9,44,ae9a9c4ce9623b172f0ca91825aa0825,40.728846,-74.008591,Greenwich St & W Houston St,2022-12-05T01:39:35.269000Z,7,True,1670203699,"['creditcard', 'key']",True,1,1,54,347
2,24,72394bda9e3303d03667935bc0ecdc47,40.71269042,-73.98776323,Madison St & Clinton St,2022-12-05T01:39:35.270000Z,4,True,1670202533,"['creditcard', 'key']",True,1,1,27,340
13,6,c3a53bb0015652fad12cffb1534c029a,40.71782143,-73.97628939,Stanton St & Mangin St,2022-12-05T01:39:35.271000Z,2,True,1670203944,"['creditcard', 'key']",True,1,1,19,341
14,6,2d5ca34d7071296701458ee1a4bf12cd,40.69794,-73.96986848,Clinton Ave & Flushing Ave,2022-12-05T01:39:35.274000Z,0,True,1670202785,"['creditcard', 'key']",True,0,0,23,343
24,36,ac5c956abf7f95a75627664be5d7c200,40.71850211,-73.98329859,Rivington St & Ridge St,2022-12-05T01:39:35.293000Z,5,True,1670204163,"['creditcard', 'key']",True,1,1,61,349
16,10,07f0bd022f67e8d3c6df62aac6489e4f,40.7945663,-73.9362541,E 114 St & 1 Ave,2022-12-05T01:39:35.830000Z,4,True,1670201970,"['creditcard', 'key']",True,1,1,26,3495
1,35,e71577342c522f803be610a89edb38ef,40.6747055,-74.0075572,Columbia St & Lorraine St,2022-12-05T01:39:35.649000Z,2,True,1670204337,"['creditcard', 'key']",True,1,1,37,3333
24,25,a71ac277c068151817eea703b2286b83,40.76030096,-73.99884222,11 Ave & W 41 St,2022-12-05T01:39:36.959000Z,8,True,1670204304,"['creditcard', 'key']",True,1,1,55,478
42,13,91af89740b1c50290e92bae27bb25b99,40.8013434,-73.9711457439,Riverside Dr & W 104 St,2022-12-05T01:39:35.651000Z,8,True,1670204146,"['creditcard', 'key']",True,1,1,58,3331
5,18,2c17cfae12ac9bb921675bceb0c72184,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St,2022-12-05T01:39:35.652000Z,0,True,1670204203,"['creditcard', 'key']",True,1,1,23,3337
35,5,a7df126dc423385450b5a626993a1f1b,40.787801,-73.953559,E 97 St & Madison Ave,2022-12-05T01:39:35.653000Z,0,True,1670204140,"['creditcard', 'key']",True,1,1,41,3336
10,17,daa4b5e1cac4dfb931b7e85c44db3339,40.6772744,-73.98282002,Union St & 4 Ave,2022-12-05T01:39:35.653000Z,1,True,1670202306,"['creditcard', 'key']",True,1,1,28,3335
27,14,1b5365e00848878fbaa6cf71c5e231a9,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,2022-12-05T01:39:35.654000Z,9,True,1670204306,"['creditcard', 'key']",True,1,1,41,3339
21,8,e34bb133a7e5baf1452ce024717d6d7a,40.7862586,-73.94552579,2 Ave & E 99 St,2022-12-05T01:39:35.655000Z,2,True,1670203214,"['creditcard', 'key']",True,1,1,31,3338
